,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.52512,1.1207104986355767,2.1341988471884075
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.52512,1.1394679254719438,2.169919114625121
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.52512,1.1641107172202507,2.2168470391915194
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.52512,1.1860650802296886,2.2586553173173534
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.52512,1.2093377763190727,2.302974132234675
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.52512,1.2332555755731676,2.34852143428772
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.52512,1.256544724497237,2.3928715807762737
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.52512,1.2842867219610024,2.4457014053187884
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.52512,1.3194909307952034,2.512741717693486
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.52512,1.3529755008832272,2.57650727620968
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.52512,1.3972257554333405,2.6607742143383235
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.52512,1.4451192419971426,2.7519790562102804
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.52512,1.4691842275038525,2.7978066489637654
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.52512,1.5189158290281755,2.892511862104234
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.52512,1.5889774059181014,3.0259319887227707
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.52512,1.6722133026957975,3.1844403235370913
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.55008,1.6132575678777576,2.932768993378704
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.55008,1.6668687629922871,3.0302297174816157
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.55008,1.7317221903224902,3.1481278910749166
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.55008,1.7908103746939532,3.2555453292138474
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.55008,1.8531932598105851,3.3689522611448974
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.55008,1.9194420571878377,3.489387102217564
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.55008,1.982516132865007,3.6040505614910683
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.55008,2.0572690708099746,3.7399452276213903
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.55008,2.1492505326683795,3.907159927044029
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.55008,2.2404726328031654,4.072994169581089
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.55008,2.3577275416296906,4.286153907849204
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.55008,2.488003390120697,4.522984638817439
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.55008,2.5519169326658124,4.63917417951173
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.55008,2.6831784107469914,4.877796703655816
30,30.0,7.0,125.0,7.0,16.0,1.0,0.0,50000.0,0.55008,2.88036392153885,5.236263673536304
31,31.0,7.0,125.0,7.0,17.0,1.0,0.0,50000.0,0.55008,3.1007959599578023,5.636990910336319
32,32.0,8.0,125.0,7.0,2.0,1.0,0.0,85000.0,0.58528,2.393540431198424,4.089564706120871
33,33.0,8.0,125.0,7.0,3.0,1.0,0.0,85000.0,0.58528,2.4996738232778535,4.2709025138016905
34,34.0,8.0,125.0,7.0,4.0,1.0,0.0,85000.0,0.58528,2.630363353761596,4.494196544835969
35,35.0,8.0,125.0,7.0,5.0,1.0,0.0,85000.0,0.58528,2.748568507528954,4.696159970490968
36,36.0,8.0,125.0,7.0,6.0,1.0,0.0,85000.0,0.58528,2.8723167327234216,4.907594198885015
37,37.0,8.0,125.0,7.0,7.0,1.0,0.0,85000.0,0.58528,3.003458818656403,5.131661458885325
38,38.0,8.0,125.0,7.0,8.0,1.0,0.0,85000.0,0.58528,3.127979423767165,5.344415363188841
39,39.0,8.0,125.0,7.0,9.0,1.0,0.0,85000.0,0.58528,3.2783337161910566,5.601308290375643
40,40.0,8.0,125.0,7.0,10.0,1.0,0.0,85000.0,0.58528,3.461959273036101,5.915047965138226
41,41.0,8.0,125.0,7.0,11.0,1.0,0.0,85000.0,0.58528,3.6476281172750813,6.232278767897555
42,42.0,8.0,125.0,7.0,12.0,1.0,0.0,85000.0,0.58528,3.882742194805596,6.63399090145844
43,43.0,8.0,125.0,7.0,13.0,1.0,0.0,85000.0,0.58528,4.141002860877464,7.075250924134541
44,44.0,8.0,125.0,7.0,14.0,1.0,0.0,85000.0,0.58528,4.268557244056745,7.293188292879895
45,45.0,8.0,125.0,7.0,15.0,1.0,0.0,85000.0,0.58528,4.537525317805484,7.752742820197997
46,46.0,8.0,125.0,7.0,16.0,1.0,0.0,85000.0,0.58528,4.925658779786195,8.415901414342187
47,47.0,8.0,125.0,7.0,17.0,1.0,0.0,85000.0,0.58528,5.384775195235306,9.200340341777107
48,48.0,6.0,250.0,7.0,2.0,1.0,0.0,13000.0,0.51328,0.9692329296690975,1.8883122850473377
49,49.0,6.0,250.0,7.0,3.0,1.0,0.0,13000.0,0.51328,0.9787735826723734,1.9068999038972363
50,50.0,6.0,250.0,7.0,4.0,1.0,0.0,13000.0,0.51328,0.9918604648819004,1.932396479274276
51,51.0,6.0,250.0,7.0,5.0,1.0,0.0,13000.0,0.51328,1.0022410599030183,1.9526205188260177
52,52.0,6.0,250.0,7.0,6.0,1.0,0.0,13000.0,0.51328,1.013670679659522,1.9748883253965128
53,53.0,6.0,250.0,7.0,7.0,1.0,0.0,13000.0,0.51328,1.026004702206121,1.9989181386497057
54,54.0,6.0,250.0,7.0,8.0,1.0,0.0,13000.0,0.51328,1.0373724726703262,2.0210654470665648
55,55.0,6.0,250.0,7.0,9.0,1.0,0.0,13000.0,0.51328,1.051413909769104,2.0484217381723506
56,56.0,6.0,250.0,7.0,10.0,1.0,0.0,13000.0,0.51328,1.0680010934013948,2.0807377910719196
57,57.0,6.0,250.0,7.0,11.0,1.0,0.0,13000.0,0.51328,1.08538487830501,2.114605825874786
58,58.0,6.0,250.0,7.0,12.0,1.0,0.0,13000.0,0.51328,1.1064341468202763,2.155615155120551
59,59.0,6.0,250.0,7.0,13.0,1.0,0.0,13000.0,0.51328,1.130778259409952,2.2030436787132794
60,60.0,6.0,250.0,7.0,14.0,1.0,0.0,13000.0,0.51328,1.1416044334000846,2.2241358194359506
61,61.0,6.0,250.0,7.0,15.0,1.0,0.0,13000.0,0.51328,1.1662098165876362,2.2720733646111992
62,62.0,6.0,250.0,7.0,16.0,1.0,0.0,13000.0,0.51328,1.2009057210649208,2.339669811925111
63,63.0,6.0,250.0,7.0,17.0,1.0,0.0,13000.0,0.51328,1.2432412291427954,2.422150150293788
64,64.0,7.0,250.0,7.0,2.0,1.0,0.0,25000.0,0.52512,1.2181225934398348,2.3197032934183324
65,65.0,7.0,250.0,7.0,3.0,1.0,0.0,25000.0,0.52512,1.2446054738721382,2.370135347867417
66,66.0,7.0,250.0,7.0,4.0,1.0,0.0,25000.0,0.52512,1.277537452143465,2.432848591071498
67,67.0,7.0,250.0,7.0,5.0,1.0,0.0,25000.0,0.52512,1.3066280335723983,2.4882465599718127
68,68.0,7.0,250.0,7.0,6.0,1.0,0.0,25000.0,0.52512,1.337780390983808,2.547570823780865
69,69.0,7.0,250.0,7.0,7.0,1.0,0.0,25000.0,0.52512,1.3704771911159468,2.6098362109916717
70,70.0,7.0,250.0,7.0,8.0,1.0,0.0,25000.0,0.52512,1.402645721705733,2.671095600445104
71,71.0,7.0,250.0,7.0,9.0,1.0,0.0,25000.0,0.52512,1.4387913226714526,2.7399286309252218
72,72.0,7.0,250.0,7.0,10.0,1.0,0.0,25000.0,0.52512,1.4856299430257616,2.829124662983245
73,73.0,7.0,250.0,7.0,11.0,1.0,0.0,25000.0,0.52512,1.530795473783889,2.9151345859687097
74,74.0,7.0,250.0,7.0,12.0,1.0,0.0,25000.0,0.52512,1.5896550523010442,3.027222448775602
75,75.0,7.0,250.0,7.0,13.0,1.0,0.0,25000.0,0.52512,1.654151614682176,3.150044970068129
76,76.0,7.0,250.0,7.0,14.0,1.0,0.0,25000.0,0.52512,1.6870760373641418,3.212743824962183
77,77.0,7.0,250.0,7.0,15.0,1.0,0.0,25000.0,0.52512,1.7545237737296837,3.3411863454632913
78,78.0,7.0,250.0,7.0,16.0,1.0,0.0,25000.0,0.52512,1.8471837317316313,3.517641171030681
79,79.0,7.0,250.0,7.0,17.0,1.0,0.0,25000.0,0.52512,1.9614197949625116,3.7351839483594445
80,80.0,8.0,250.0,7.0,2.0,1.0,0.0,43000.0,0.54304,1.612390681961084,2.9691932122147247
81,81.0,8.0,250.0,7.0,3.0,1.0,0.0,43000.0,0.54304,1.6653422176974468,3.0667026695960646
82,82.0,8.0,250.0,7.0,4.0,1.0,0.0,43000.0,0.54304,1.7301597190365225,3.186063124330662
