,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01052,0.30438532777316685,28.93396651836187
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.01056,0.32460237597640584,30.73886136140207
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.01055,0.34879514449156773,33.06115113664149
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.01052,0.3709174591891961,35.258313611140316
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.01052,0.3938562912468777,37.4388109550264
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.01052,0.4190569496161864,39.83431080001772
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.01055,0.44312993504930026,42.002837445431304
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.01052,0.4712624347213168,44.79680938415559
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.01055,0.5068321589172868,48.04096293054852
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.01052,0.5421977471579165,51.53970980588559
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.01052,0.5871317923877118,55.8110068809612
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.010539999999999999,0.63726083992757,60.46118025878273
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.01055,0.678400196816262,64.30333619111488
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.01055,0.7279476149649873,68.99977393033055
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.010539999999999999,0.7953277161627985,75.45803758660328
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.010539999999999999,0.8775846701699895,83.26230267267454
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.02809,0.8178020085083811,29.113635048358173
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.028050000000000002,0.870192655658528,31.022911075170335
