,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.52512,1.250704186552785,2.3817492888345235
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.52512,1.2710587087092504,2.420510947420114
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.52512,1.2954193480340135,2.4669015616126093
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.52512,1.3170058289557505,2.5080092720820963
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.52512,1.3399659550337815,2.5517328516030267
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.52512,1.3643897031862837,2.59824364561678
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.52512,1.3884865630292573,2.6441319375176286
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.52512,1.4163596458508498,2.6972113913978704
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.52512,1.452090465205661,2.7652545422106583
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.52512,1.4864829522363525,2.8307490711386967
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.52512,1.5302196720943886,2.9140380714777354
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.52512,1.5789362970956442,3.006810437796397
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.52512,1.6100322068453483,3.0660272068200567
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.52512,1.659899172044808,3.160990196611837
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.52512,1.7286004887157873,3.291819943471563
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.52512,1.813817874427774,3.4541016804307088
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.55008,1.7628640332248005,3.2047411889630606
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.55008,1.8148183212147793,3.2991897927842846
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.55008,1.8803519610057204,3.418324536441464
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.55008,1.9404765185765618,3.5276260154460473
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.55008,2.0037949878545036,3.642733762097338
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.55008,2.070884163190906,3.764696340879338
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.55008,2.1344161489054354,3.8801922427745694
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.55008,2.2094216504053645,4.016546048584505
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.55008,2.3062734721064744,4.192614659879426
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.55008,2.398390075181057,4.360075034869577
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.55008,2.517837994433072,4.577221484935049
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.55008,2.6487708037769138,4.815246516464721
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.55008,2.7379251110587712,4.977321682407597
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.55008,2.866829162840228,5.2116586002767376
30,30.0,7.0,125.0,7.0,16.0,1.0,0.0,50000.0,0.55008,3.061161053820558,5.5649379250664595
31,31.0,7.0,125.0,7.0,17.0,1.0,0.0,50000.0,0.55008,3.278104911920301,5.959323938191355
32,32.0,8.0,125.0,7.0,2.0,1.0,0.0,85000.0,0.58528,2.569617284456286,4.390406787274956
33,33.0,8.0,125.0,7.0,3.0,1.0,0.0,85000.0,0.58528,2.676838317463156,4.573602920761269
34,34.0,8.0,125.0,7.0,4.0,1.0,0.0,85000.0,0.58528,2.807624509233405,4.797062105715905
35,35.0,8.0,125.0,7.0,5.0,1.0,0.0,85000.0,0.58528,2.9282877597867816,5.003225396027169
36,36.0,8.0,125.0,7.0,6.0,1.0,0.0,85000.0,0.58528,3.0510879607682777,5.213039845489813
