,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01052,0.29931798242899776,28.452279698573932
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.01055,0.3193033741295096,30.265722666304224
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.01058,0.34383793157167564,32.498859316793535
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.01055,0.3661461393187544,34.70579519609046
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.01052,0.38840760211035447,36.92087472531887
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.01052,0.4136953308603305,39.32465122246488
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.01052,0.4373726986552577,41.5753515831994
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.01052,0.4658046796594968,44.27801137447688
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.010539999999999999,0.5019479160521417,47.623141940430905
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.010539999999999999,0.5366320525182151,50.91385697516273
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.01052,0.5811440808675905,55.24183278209035
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.01055,0.6299864104302693,59.714351699551585
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.01055,0.6645591517855988,62.99138879484348
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.01052,0.7123490642379636,67.71378937623228
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.01055,0.7822445866308492,74.1464063157203
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.01055,0.8685904146410754,82.3308449896754
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.028050000000000002,0.8035198008897035,28.64598220640654
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.028050000000000002,0.8554366668488576,30.49685086805196
