,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01058,0.3695893837876187,34.932834006391175
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.01055,0.39425709805261683,37.3703410476414
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.010539999999999999,0.425373384028766,40.35800607483549
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.01058,0.4537288679220258,42.88552626862248
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.010539999999999999,0.48455757654507736,45.97320460579482
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.010539999999999999,0.5198517231659552,49.32179536678892
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.01055,0.5545603853190815,52.56496543308829
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.01055,0.5975504252712192,56.639850736608444
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.010539999999999999,0.6279221666302385,59.57515812431106
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.01058,0.6732271206322543,63.632052989816096
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.010539999999999999,0.7245665514966707,68.74445460120216
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.01055,0.784000404715523,74.31283457019175
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.010539999999999999,0.8476717036744075,80.42426031066485
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.010539999999999999,0.9168564252164259,86.98827563723206
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.010539999999999999,1.0078386867407332,95.62036876098038
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.010539999999999999,1.092524737747123,103.65509845798131
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.028079999999999997,0.9875391258263534,35.1687722872633
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.028079999999999997,1.0601792579499616,37.75567157941459
