,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,7800.0,5.0,2.0,1.0,585.0,0.48,0.32159,17.160167471818383,55.21930926929742
1,1.0,6.0,7800.0,5.0,3.0,1.0,585.0,0.48,0.32159,18.584289790766093,59.647688009145384
2,2.0,6.0,7800.0,5.0,4.0,1.0,585.0,0.48,0.32159,19.5605016777761,62.68326712233301
3,3.0,6.0,7800.0,5.0,5.0,1.0,585.0,0.48,0.32159,21.01318188750657,67.20044803508051
4,4.0,6.0,7800.0,5.0,6.0,1.0,585.0,0.48,0.32158,22.88443735891056,73.02142224579269
5,5.0,6.0,7800.0,5.0,7.0,1.0,585.0,0.48,0.32158,25.026094464573326,79.68121795965166
6,6.0,6.0,7800.0,5.0,8.0,1.0,585.0,0.48,0.32158,27.059114762961073,86.00319164703193
7,7.0,6.0,7800.0,5.0,9.0,1.0,585.0,0.48,0.32158,29.192401699693797,92.63695909753483
8,8.0,6.0,7800.0,5.0,10.0,1.0,585.0,0.48,0.32158,31.42366080358625,99.57538531773649
9,9.0,6.0,7800.0,5.0,11.0,1.0,585.0,0.48,0.32159,33.287541651808866,105.36817639822085
10,10.0,6.0,7800.0,5.0,12.0,1.0,585.0,0.48,0.32158,35.14000308286889,111.13189467554056
11,11.0,6.0,7800.0,5.0,13.0,1.0,585.0,0.48,0.32158,35.94371192867344,113.63114477133183
12,12.0,6.0,7800.0,5.0,14.0,1.0,585.0,0.48,0.32158,36.069447218337295,114.02213702726769
13,13.0,7.0,7800.0,5.0,2.0,1.0,341.25,0.82,0.64313,34.3337802957958,55.24436387972592
14,14.0,7.0,7800.0,5.0,3.0,1.0,341.25,0.82,0.64312,37.16952098263681,59.654543226156264
15,15.0,7.0,7800.0,5.0,4.0,1.0,341.25,0.82,0.64313,39.14459671040345,62.72468110113939
16,16.0,7.0,7800.0,5.0,5.0,1.0,341.25,0.82,0.64313,42.0138049605976,67.18600035260356
17,17.0,7.0,7800.0,5.0,6.0,1.0,341.25,0.82,0.64313,45.742225595238345,72.98330515045275
18,18.0,7.0,7800.0,5.0,7.0,1.0,341.25,0.82,0.64313,50.09024164738824,79.74401612980357
19,19.0,7.0,7800.0,5.0,8.0,1.0,341.25,0.82,0.64313,54.262491510911794,86.23142903780592
20,20.0,7.0,7800.0,5.0,9.0,1.0,341.25,0.82,0.64313,58.411084980692024,92.68205872353079
21,21.0,7.0,7800.0,5.0,10.0,1.0,341.25,0.82,0.64313,62.88091167806464,99.63217253780257
22,22.0,7.0,7800.0,5.0,11.0,1.0,341.25,0.82,0.64312,66.60217644908914,105.41996098093351
23,23.0,7.0,7800.0,5.0,12.0,1.0,341.25,0.82,0.64313,70.38417358871278,111.29896138398944
24,24.0,7.0,7800.0,5.0,13.0,1.0,341.25,0.82,0.64312,71.88596292637057,113.63582501452198
25,25.0,7.0,7800.0,5.0,14.0,1.0,341.25,0.82,0.64312,72.12921042276474,114.01405535472936
26,26.0,8.0,7800.0,5.0,2.0,1.0,195.0,1.44,1.1223599999999998,59.9657672190287,55.28720291673974
27,27.0,8.0,7800.0,5.0,3.0,1.0,195.0,1.44,1.1223699999999999,64.9377160151356,59.71659296929037
28,28.0,8.0,7800.0,5.0,4.0,1.0,195.0,1.44,1.1223699999999999,68.52853204507394,62.915908729635305
29,29.0,8.0,7800.0,5.0,5.0,1.0,195.0,1.44,1.1223699999999999,73.55941980241839,67.39828776448516
30,30.0,8.0,7800.0,5.0,6.0,1.0,195.0,1.44,1.1223599999999998,80.0764400451493,73.20540458654318
31,31.0,8.0,7800.0,5.0,7.0,1.0,195.0,1.44,1.1223699999999999,87.6175075363948,79.92364725732301
32,32.0,8.0,7800.0,5.0,8.0,1.0,195.0,1.44,1.1223699999999999,94.59043727927136,86.13633090253498
33,33.0,8.0,7800.0,5.0,9.0,1.0,195.0,1.44,1.1223699999999999,102.0056232677391,92.74305238339043
34,34.0,8.0,7800.0,5.0,10.0,1.0,195.0,1.44,1.1223699999999999,109.7356925757972,99.63032601691424
35,35.0,8.0,7800.0,5.0,11.0,1.0,195.0,1.44,1.1223599999999998,116.23342496744591,105.42054493571513
36,36.0,8.0,7800.0,5.0,12.0,1.0,195.0,1.44,1.1223599999999998,122.77155738394778,111.24588833400254
37,37.0,8.0,7800.0,5.0,13.0,1.0,195.0,1.44,1.1223699999999999,125.53137519660169,113.70383352406829
38,38.0,8.0,7800.0,5.0,14.0,1.0,195.0,1.44,1.1223699999999999,125.99998235403467,114.12134927861713
39,39.0,9.0,7800.0,5.0,2.0,1.0,109.69,2.56,2.24469,119.99840930722684,55.317709453342275
40,40.0,9.0,7800.0,5.0,3.0,1.0,109.69,2.56,2.2447,129.9245229979576,59.73949370194554
41,41.0,9.0,7800.0,5.0,4.0,1.0,109.69,2.56,2.24469,137.2256561329323,62.99237581070363
42,42.0,9.0,7800.0,5.0,5.0,1.0,109.69,2.56,2.24469,147.35638307279686,67.50557226093264
43,43.0,9.0,7800.0,5.0,6.0,1.0,109.69,2.56,2.24469,160.00503283419837,73.14049278955865
44,44.0,9.0,7800.0,5.0,7.0,1.0,109.69,2.56,2.24469,174.92284552223063,79.78631590456885
45,45.0,9.0,7800.0,5.0,8.0,1.0,109.69,2.56,2.24469,189.05352576511456,86.08147480975573
46,46.0,9.0,7800.0,5.0,9.0,1.0,109.69,2.56,2.2447,204.21906705575304,92.83725467570393
47,47.0,9.0,7800.0,5.0,10.0,1.0,109.69,2.56,2.24469,219.86796877386047,99.80918019835991
48,48.0,9.0,7800.0,5.0,11.0,1.0,109.69,2.56,2.24469,232.75343954240853,105.5496034944712
49,49.0,9.0,7800.0,5.0,12.0,1.0,109.69,2.56,2.24469,245.56360358091055,111.25647795753828
