,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01055,0.2987036792302977,28.31314495073912
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.01058,0.3185373466777346,30.107499685986255
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.010539999999999999,0.3422189896738358,32.468594845714975
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.01057,0.3646755641108373,34.50099944284175
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.01055,0.3873256174086306,36.713328664325175
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.01056,0.4125089350192249,39.063346119244784
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.01055,0.43565320513563166,41.29414266688452
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.01057,0.4636211589035634,43.86198286694072
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.010539999999999999,0.4983908218145435,47.285656718647395
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.01055,0.5329816488329219,50.5195875671016
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.01058,0.5765100462264298,54.49055257338655
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.01055,0.6239132146697127,59.13869333362206
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.01055,0.6555877171052065,62.141015839356065
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.010539999999999999,0.7066302489278745,67.04271811459911
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.010539999999999999,0.7770436367079665,73.72330519050917
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.010539999999999999,0.8110671876567502,76.95134607749054
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.02811,0.8009689686210152,28.494093511953583
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.028079999999999997,0.8530701650687604,30.37999163350287
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.02809,0.9186970193503685,32.70548306694085
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.02811,0.9791941944258383,34.834371911271376
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.02811,1.0394468013621487,36.977830002210915
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.02811,1.1056825930301102,39.33413706973
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.0281,1.1698239541164797,41.63074569809536
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.028079999999999997,1.2437231473349777,44.29213487660177
