,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01058,0.29847872839681794,28.211600037506418
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.010539999999999999,0.31770054636098194,30.142366827417643
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.010539999999999999,0.34208290027791205,32.45568313832183
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.01058,0.36427036285420056,34.43009100701328
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.01055,0.38677796203765946,36.661418202621746
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.01057,0.4115180449615053,38.93264379957477
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.01055,0.43520344679291406,41.25151154435204
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.010539999999999999,0.4628297072142019,43.91173692734364
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.01057,0.498285688590477,47.141503177907005
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.01057,0.5326268832242024,50.390433606830875
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.01056,0.5757412185172731,54.52094872322662
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.010539999999999999,0.6233383868255554,59.14026440470166
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.01056,0.6580506286876004,62.31540044390156
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.01055,0.7078480700818844,67.09460379923075
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.010539999999999999,0.7776791349836784,73.78359914456152
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.010539999999999999,0.8154538522929718,77.36753816821366
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.02811,0.8001596284085143,28.465301615386494
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.02811,0.8524061791592452,30.323948031278736
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.028079999999999997,0.9170446259565629,32.6582844001625
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.028120000000000003,0.9774127653808998,34.758633192777374
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.028079999999999997,1.038242663860638,36.974453841190815
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.028079999999999997,1.1037769304473426,39.308295243851234
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.028079999999999997,1.1675691041133538,41.58009630033312
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.02811,1.243339289425646,44.23120915779602
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.02811,1.3372570192239275,47.57228812607355
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.02811,1.4298592127404595,50.86656751122232
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.0281,1.5449285338634011,54.97966312681143
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.028120000000000003,1.6737880630609403,59.52304633929374
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.02811,1.7655512965455364,62.808655159926595
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.028079999999999997,1.9006131025891844,67.68565180160914
30,30.0,7.0,125.0,7.0,16.0,1.0,0.0,50000.0,0.028079999999999997,2.0938942727458376,74.5688843570455
31,31.0,7.0,125.0,7.0,17.0,1.0,0.0,50000.0,0.028079999999999997,2.1897362638084306,77.98206067693842
32,32.0,8.0,125.0,7.0,2.0,1.0,0.0,85000.0,0.055990000000000005,1.5987149964056964,28.553580932411077
33,33.0,8.0,125.0,7.0,3.0,1.0,0.0,85000.0,0.056,1.7036415854943119,30.422171169541283
34,34.0,8.0,125.0,7.0,4.0,1.0,0.0,85000.0,0.056,1.833349858900589,32.738390337510516
35,35.0,8.0,125.0,7.0,5.0,1.0,0.0,85000.0,0.055979999999999995,1.9514490612458408,34.859754577453394
36,36.0,8.0,125.0,7.0,6.0,1.0,0.0,85000.0,0.055979999999999995,2.0734416079449485,37.038971203018015
37,37.0,8.0,125.0,7.0,7.0,1.0,0.0,85000.0,0.055990000000000005,2.2074004977957093,39.42490619388657
38,38.0,8.0,125.0,7.0,8.0,1.0,0.0,85000.0,0.05602,2.3351008154239588,41.68334193902104
39,39.0,8.0,125.0,7.0,9.0,1.0,0.0,85000.0,0.055979999999999995,2.482857111572234,44.35257434034002
40,40.0,8.0,125.0,7.0,10.0,1.0,0.0,85000.0,0.056,2.670680696547047,47.690726724054414
41,41.0,8.0,125.0,7.0,11.0,1.0,0.0,85000.0,0.055979999999999995,2.8561181488944043,51.02033134859601
42,42.0,8.0,125.0,7.0,12.0,1.0,0.0,85000.0,0.05602,3.0896591073828206,55.152786636608724
43,43.0,8.0,125.0,7.0,13.0,1.0,0.0,85000.0,0.056,3.3451198100613477,59.734282322524066
44,44.0,8.0,125.0,7.0,14.0,1.0,0.0,85000.0,0.055979999999999995,3.536466081280488,63.173742073606434
45,45.0,8.0,125.0,7.0,15.0,1.0,0.0,85000.0,0.05601,3.792380565477454,67.70899063519825
46,46.0,8.0,125.0,7.0,16.0,1.0,0.0,85000.0,0.05602,4.181780104605,74.64798473054266
47,47.0,8.0,125.0,7.0,17.0,1.0,0.0,85000.0,0.055979999999999995,4.3593357908176325,77.8730937980999
48,48.0,6.0,250.0,7.0,2.0,1.0,0.0,13000.0,0.00539,0.15179715490098275,28.16273745843836
49,49.0,6.0,250.0,7.0,3.0,1.0,0.0,13000.0,0.00536,0.16137961142350465,30.108136459609074
50,50.0,6.0,250.0,7.0,4.0,1.0,0.0,13000.0,0.0054,0.173782532450188,32.181950453738516
