,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01058,0.24885715427900462,23.521470158696086
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.01057,0.255384366810837,24.16124567746802
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.010539999999999999,0.2650656922544632,25.14854765222611
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.01058,0.27739674587049007,26.21897408983838
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.010539999999999999,0.2931747870615458,27.815444692746283
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.01057,0.31165565693965014,29.484924970638613
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.010539999999999999,0.3282439793181194,31.14269253492594
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.01055,0.3472969381437444,32.91914105627909
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.010539999999999999,0.36947668446244425,35.05471389586758
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.01058,0.3909601047103641,36.95275091780378
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.010539999999999999,0.41661541370456034,39.5270790991044
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.01058,0.4468978036576728,42.23986802057399
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.010539999999999999,0.4903733149939787,46.52498244724656
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.01058,0.5428901974443383,51.3128731043798
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.01055,0.6104662922439433,57.86410353023159
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.010539999999999999,0.6671665878241836,63.29853774422995
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.02811,0.6664688871008607,23.709316510169362
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.02811,0.6832386009900477,24.305891177162852
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.028079999999999997,0.7103946468110032,25.298954658511512
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.02809,0.7432538937089112,26.45973277710613
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.028079999999999997,0.7859153970088384,27.988440064417325
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.028079999999999997,0.8348744280898943,29.731995302346665
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.028120000000000003,0.8797052267856141,31.28396965809438
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.0281,0.9305227412435069,33.11468830048067
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.028079999999999997,0.9902104810885305,35.26390602167132
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.028079999999999997,1.047326485234462,37.29795175336403
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.028079999999999997,1.1177076158970787,39.804402275536994
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.028079999999999997,1.1993420709323444,42.711612212690326
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.028079999999999997,1.316256735917529,46.87523988310289
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.02809,1.4582065954434122,51.91194714999688
30,30.0,7.0,125.0,7.0,16.0,1.0,0.0,50000.0,0.02809,1.6422052429645309,58.462272800446094
31,31.0,7.0,125.0,7.0,17.0,1.0,0.0,50000.0,0.028079999999999997,1.7888643749428483,63.705996258648454
32,32.0,8.0,125.0,7.0,2.0,1.0,0.0,85000.0,0.055990000000000005,1.3312652079513017,23.7768388632131
33,33.0,8.0,125.0,7.0,3.0,1.0,0.0,85000.0,0.055990000000000005,1.3651694313258793,24.382379555739938
34,34.0,8.0,125.0,7.0,4.0,1.0,0.0,85000.0,0.055979999999999995,1.41950012978258,25.357272772107542
